policy_name,content
Refund Policy,Refunds are processed within 7 business days after approval. Refunds for digital products are not applicable once downloaded.
Cancellation Policy,"Orders can be cancelled before shipment. If the order is already shipped, we will attempt an interception, but it's not guaranteed. Cancellation charges may apply for customised items."
Shipping Policy,Standard shipping: 3-5 business days. Express shipping: 1-2 business days in metro cities. Free shipping on orders above ₹499.
Return & Exchange Policy,"Items can be returned within 30 days (15 days for clothing/electronics). Items must be unused, with original tags and packaging. Exchange is allowed for size/colour within 15 days."
Privacy Policy,We collect only necessary personal data to process orders. Data is encrypted and never sold to third parties. You can request data deletion by contacting support.
Terms of Service,"By using the website, you agree to our terms. We reserve the right to modify prices, cancel orders, or limit quantities. All disputes are subject to Mumbai jurisdiction."
Warranty Policy,"All electronics come with a 1-year manufacturer warranty. Physical damage, water damage, and unauthorised repairs void the warranty."
Payment Security Policy,We use PCI-DSS compliant gateways. Card details are tokenised and not stored on our servers. We support two-factor authentication for payments.
Product Authenticity Guarantee,"We guarantee 100% authentic products sourced directly from brands or authorised distributors. If you suspect a counterfeit, report it for a full refund and action against the seller."
Data Retention Policy,Order data is retained for 5 years for tax/legal compliance. Account data is kept until you request deletion. Support tickets are archived after 2 years.
