question,answer
How long does standard shipping take?,Standard shipping takes 3-5 business days.
Can I return a product?,Products can be returned within 30 days of delivery.
What payment methods are accepted?,"We accept Visa, Mastercard, UPI, and PayPal."
How can I track my order?,You can track your order using the tracking ID sent to your email.
Do you offer cash on delivery?,"Yes, cash on delivery is available on orders up to ₹5000."
What is your refund policy?,Refunds are processed within 7 business days after approval.
Can I change my shipping address after placing an order?,You can change the address before the order is shipped by contacting support.
How do I cancel my order?,Orders can be cancelled before shipment from your account or by contacting us.
Are there any shipping charges?,Free shipping on orders above ₹499. A ₹40 fee applies otherwise.
How long does it take to process a return?,Returns are processed within 5-7 business days after the item is received.
What should I do if I receive a damaged item?,Please raise a ticket with photos within 48 hours for a replacement.
Do you provide international shipping?,Currently we only ship within India.
How can I contact customer support?,"You can reach us via live chat, email at support@shopnow.in, or call 1800-123-456."
Where is my refund?,Refunds appear in your account within 7 business days after approval.
Can I exchange a product?,"Yes, exchanges are allowed within 15 days for size or colour issues."
What if my payment failed but money was deducted?,It will be auto-refunded within 5-7 business days. Contact us if it doesn’t appear.
How do I reset my account password?,Use the 'Forgot Password' link on the login page.
Can I order a product that is out of stock?,You can sign up for a ‘Notify Me’ alert when it’s back in stock.
What is the warranty on electronics?,Electronics carry a 1-year manufacturer warranty unless stated otherwise.
How do I apply a coupon code?,Enter the code at checkout in the ‘Coupon Code’ field.
Why was my order cancelled?,Orders may be cancelled due to payment issues or stock unavailability.
Can I buy a gift card?,Gift cards are available in denominations from ₹200 to ₹5000.
How do I delete my account?,Contact support to permanently delete your account and data.
Do you have a loyalty program?,"Yes, earn points on every purchase that can be redeemed later."
What are your working hours for customer support?,"We are available 9 AM to 9 PM IST, Monday to Saturday."
How can I check product reviews?,Scroll down on the product page to read verified customer reviews.
Can I place a bulk order?,"For bulk orders, email bulkorders@shopnow.in with your requirements."
How do I unsubscribe from marketing emails?,Click ‘Unsubscribe’ at the bottom of any marketing email.
Is it safe to use my credit card on your site?,"Yes, we use PCI-compliant encryption and do not store full card details."
What should I do if my package shows delivered but I didn’t receive it?,"Wait 24 hours, check with neighbours, then raise a ticket for investigation."
Can I add items to an existing order?,"Once an order is placed, items cannot be added. Please place a new order."
How do I return a gift?,Gifts can be returned using the original order number; refund goes to the buyer.
Do you have a size guide?,"Yes, a size chart is available on every clothing product page."
Can I pay using multiple methods?,"Currently, only one payment method per order is supported."
How can I check product availability at a store?,Use the ‘Check Store Availability’ option on the product page.
What is your price match policy?,We do not offer price matching at this time.
Can I schedule a delivery time?,Specific delivery time slots are not available; our courier delivers between 9 AM and 9 PM.
How do I register a complaint?,You can raise a support ticket from your account or contact us directly.
What is the shelf life of food products?,Shelf life varies; check the product description and packaging before use.
Do you offer product installation services?,Installation is available for large appliances; select it at checkout if offered.
How can I become a seller?,Visit our ‘Sell on ShopNow’ page and submit your business details.
What if I receive the wrong item?,Raise a return request within 48 hours. We will arrange pickup and send the correct item.
Can I modify my shipping speed after ordering?,"Once an order is placed, the shipping speed cannot be changed."
Do you sell refurbished products?,"Yes, we have a ‘Refurbished’ category with certified products."
How do I use my wallet balance?,"At checkout, select ‘Wallet’ as the payment method and enter the amount to use."
Is my personal information secure?,We follow strict data protection laws and encrypt your data.
How can I share feedback?,We welcome feedback at feedback@shopnow.in or through the in-app form.
What does 'Pre-order' mean?,You can order the item before its official release; it ships on the launch date.
Can I get an invoice for my order?,"Yes, GST invoices are available in your order details once the order is confirmed."
What if I miss the delivery?,The courier will attempt delivery up to 3 times before returning the package.
How do I check the status of my return?,You can track your return under ‘My Returns’ in your account.
Are there any hidden charges?,"No, you see the final amount at checkout inclusive of all taxes."
How do I cancel a part of my order?,You cannot cancel part of an order; cancel the whole order and re-order only the items you want.
Do you have a mobile app?,"Yes, download the ‘ShopNow’ app from the Play Store or App Store."
Can I change my phone number on my account?,Go to Account Settings -> Personal Info to update your phone number.
How are refurbished products different?,"They are pre-owned, tested, and certified to work like new, with a shorter warranty."
What is the maximum quantity I can order?,"For most products, the maximum per order is 10 units."
Can I return a product without original packaging?,"The original packaging is required for returns, else the return may be rejected."
How do I get a tax invoice for business purchases?,Enter your GST details at checkout to receive an invoice with GSTIN.
What if the product price dropped after I bought it?,We do not refund price differences.
Do you deliver on Sundays?,Some courier partners deliver on Sundays in select cities.
How can I find my order ID?,Your order ID is in the confirmation email and SMS sent after purchase.
What is the return policy for electronics?,Electronics can be returned within 10 days if defective or not as described.
Can I use two coupon codes at once?,Only one coupon code can be applied per order.
Why does my coupon not work?,"Check the expiry date, minimum order value, and eligible categories."
How can I pay with UPI?,Select UPI at checkout; you’ll be redirected to your UPI app to complete payment.
What is the difference between replacement and refund?,Replacement gives you a new piece; refund credits your money back.
Can I request open box delivery?,Open box delivery is available for high-value items at the time of delivery.
How long does it take to receive a replacement?,Replacements usually arrive within 5-7 business days after pickup.
Do you sell authentic products?,"Yes, all products are sourced from authorized sellers and brands."
What if my gift card code doesn’t work?,Ensure you entered the code correctly; contact support if it still fails.
Can I change the mode of payment after ordering?,Payment mode cannot be changed once the order is placed.
How are shipping charges calculated?,A flat ₹40 is charged for orders below ₹499; free above that.
Can I get a call from support instead of chat?,"Yes, request a callback through the app or website."
How do I enable notifications for deals?,"In the app settings, allow push notifications to receive deal alerts."
What if a product is missing from my order?,Contact us within 24 hours with a photo of the package and contents.
